prefecture,city,number,address,name,lat,long
東京都,板橋区,17_4,稲荷台23番1号,加賀小学校（西）,35.7614807,139.7104127
東京都,板橋区,17_5,稲荷台27番1号,私立帝京学園（北）,35.7604991,139.7111625
東京都,板橋区,17_6,稲荷台27番1号,私立帝京学園（南）,35.7604991,139.7111625
東京都,板橋区,17_7,本町8番1号,都営板橋本町アパート１号棟,35.76062,139.7090514
東京都,板橋区,17_8,本町24番1号,いたばし総合ボランティアセンター,35.7596015,139.7083159
東京都,板橋区,18_1,富士見町3番1号,旧板橋第四中学校（南）,35.7606628,139.7005159
東京都,板橋区,18_2,富士見町3番1号,富士見地域センター,35.7606628,139.7005159
東京都,板橋区,18_3,富士見町13番6号,私立平和保育園,35.7617941,139.6988092
東京都,板橋区,18_4,富士見町24番9号,富士見西児童遊園,35.7589783,139.695445
東京都,板橋区,18_5,富士見町27番3号,都営板橋富士見町アパート旧３号棟,35.7596952,139.6967475
東京都,板橋区,18_6,富士見町28番1号,都立北豊島工業高等学校（西）,35.7608667,139.6971698
東京都,板橋区,18_7,富士見町28番1号,都立北豊島工業高等学校（南）,35.7608667,139.6971698
東京都,板橋区,19_1,大和町2番先,氷川つり堀公園,35.7564218,139.706088
東京都,板橋区,19_2,大和町36番4号,板橋保育園,35.7594325,139.7050283
東京都,板橋区,19_3,氷川町23番5号,板橋区土木部水防倉庫,35.755592,139.705238
東京都,板橋区,19_4,双葉町18番1号,都営双葉町第２アパート（東）,35.7576088,139.6990748
東京都,板橋区,19_5,双葉町18番3号,都営双葉町第２アパート（西）,35.7576347,139.6985319
東京都,板橋区,19_6,双葉町18番23号,双葉町ひだまり公園（南）,35.7578114,139.6989552
東京都,板橋区,19_7,双葉町42番1号,板橋第八小学校（北）,35.7595941,139.7001113
東京都,板橋区,19_8,双葉町42番1号,板橋第八小学校（南）,35.7595941,139.7001113
東京都,板橋区,20_1,常盤台1丁目1番,ときわ台駅前,35.7589847,139.6899409
東京都,板橋区,20_2,常盤台1丁目6番1号,常盤台小学校（西）,35.7598224,139.6911945
東京都,板橋区,20_3,常盤台1丁目6番1号,常盤台小学校（南）,35.7598224,139.6911945
東京都,板橋区,20_4,常盤台1丁目13番1号,常盤台公園（西）,35.760028,139.6915044
東京都,板橋区,20_5,常盤台1丁目13番1号,常盤台公園（北）,35.760028,139.6915044
東京都,板橋区,20_6,常盤台1丁目28番19号,常盤台一丁目児童遊園（南）,35.7618394,139.6916958
東京都,板橋区,20_7,常盤台2丁目20番20号,常盤台北口公園（東）,35.7625797,139.6876134
東京都,板橋区,20_8,常盤台2丁目25番11号,民宅,35.7626844,139.6897016
東京都,板橋区,21_1,南常盤台1丁目1番1号,上板橋第一中学校（東）,35.757118,139.6921467
東京都,板橋区,21_2,南常盤台1丁目1番1号,上板橋第一中学校（西）,35.757118,139.6921467
東京都,板橋区,21_3,南常盤台1丁目1番1号,上板橋第一中学校（北）,35.757118,139.6921467
東京都,板橋区,21_4,南常盤台1丁目26番20号,向屋敷公園（北）,35.7579126,139.6906588
東京都,板橋区,21_5,南常盤台2丁目4番10号,ときわ台駅南口自転車駐車場,35.758494,139.6872638
東京都,板橋区,21_6,南常盤台2丁目8番6号,南ときわ台公園（東）,35.7566159,139.6863566
